day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,thunder,total_num_of_crimes
3,2014,1,1,01/01/2014,18.9,14.9,1026.5,3.7,9.5,15.9,22.9,24.1,3.9,0.07,3.9,1,0,1,0,567
4,2015,1,1,01/01/2015,22.3,7.3,1020.6,10,15,18.1,26,32,6.1,0,0,0,0,0,0,585
5,2016,1,1,01/01/2016,25.3,16.2,1024.2,9.5,13,15.9,25.1,30,19.9,0,2,0,0,1,0,504
7,2017,1,1,01/01/2017,29.9,18.8,1018.9,10,4.8,8.9,999.9,41,21.9,0,0,0,0,0,0,525
1,2018,1,1,01/01/2018,-0.5,-11.3,1041.1,10,9.2,11.1,17.1,10,-7.1,0,2,0,0,0,0,424
2,2019,1,1,01/01/2019,32.6,29.4,1019.8,7.7,9.1,19,28,39.9,28,0.66,0,0,1,1,0,482
4,2014,1,2,02/01/2014,20.2,15.4,1022.9,3,12.7,19,25.1,24.1,14,0.02,9.8,1,0,1,0,236
5,2015,1,2,02/01/2015,28.4,17.4,1024.5,10,5.1,15,17.1,36,17.1,0,0,0,0,0,0,315
6,2016,1,2,02/01/2016,28.6,19.2,1020,10,9.2,14,999.9,33.1,21.9,0,2,0,0,0,0,259
1,2017,1,2,02/01/2017,36.1,28.6,1020.2,7.3,6.1,8.9,999.9,39.9,30.9,0,0,0,1,0,0,298
2,2018,1,2,02/01/2018,-2.8,-10.6,1038.6,10,9.2,15,999.9,7,-9.9,0,2,0,0,0,0,263
3,2019,1,2,02/01/2019,29.5,25.7,1023.2,6.5,6.7,15.9,22,32,27,0,0,0,0,1,0,304
5,2014,1,3,03/01/2014,7.2,-1.3,1029.8,9.9,8.7,15.9,25.1,21.9,-2,0.01,9.1,0,0,0,0,274
6,2015,1,3,03/01/2015,34.3,28.9,1017.5,4.9,4.9,8.9,999.9,37,19.9,0.08,0,0,1,1,0,280
7,2016,1,3,03/01/2016,28.8,18.7,1019.1,10,10.9,19,24.1,33.1,24.1,0,2,0,0,1,0,287
2,2017,1,3,03/01/2017,40.3,37.2,1010.3,3.6,6.6,15.9,21,42.8,37,0.09,0,1,1,0,0,324
3,2018,1,3,03/01/2018,12.2,3.5,1021.9,8.1,11,15,20,18,1,0,2,0,0,1,0,253
