,wdsp,prcp,temp,sndp,total_num_of_crimes
1795,5.5,0,76.8,0,0.72406639
373,8.4,0,14.5,3.1,0.483760684
253,3.9,0,69.1,0,0.723104056
714,6.1,0,37.9,0,0.001184965
569,8,0,80,0,0.567521368
1476,6.7,0,76.6,0,0.754455446
1095,7.8,0.52,47.7,0,0.67047619
73,13.9,0.04,39.7,0,0.597883598
1578,7.7,0.52,73.2,0,0.627722772
1349,11.2,0.02,10.5,2,0.558095238
820,9.6,0,80.6,0,0.001464475
654,7.1,0,36.3,0,0.541880342
444,8.4,0.2,67.8,0,0.625641026
124,6.7,0.08,49.7,0,0.700176367
1191,6.7,0,69.2,0,0.796190476
747,8.1,0.05,45.1,0,0.001582577
1625,9.3,0,32.3,0,0.655445545
773,7.9,0.05,46.7,0,0.001299131
137,7,0,67.4,0,0.675485009
1871,9.5,0.5,68.8,0,0.717842324
1566,4.3,0,66.9,0,0.617821782
1052,8,0.08,59.7,0,0.632380952
257,11.5,0,56.9,0,0.661375661
789,8.7,0,47.3,0,0.001413297
215,10.1,0,78.3,0,0.64021164
185,3.8,0,73.1,0,0.677248677
46,14.5,0,12,0,0.546737213
1550,12.8,0,83.1,0,0.76039604
657,9.4,0,41.9,0,0.576068376
1845,11.8,0,69.6,0,0.709543568
1243,5.3,0,63.5,0,0.613333333
905,9.4,0.21,77.3,0,0.00154321
649,10.1,0,42.1,0,0.569230769
1123,6.1,0.03,55.4,0,0.615238095
1440,11.3,0,71.1,0,0.756435644
1601,7.7,0,48.6,0,0.687128713
666,14.7,0.09,34.9,0,0.588034188
490,10.7,0.48,63.1,0,0.625641026
1644,5.2,0,34.3,0,0.625742574
911,9.3,0.01,71.6,0,0.001389676
830,7.2,0,79.5,0,0.001440854
891,6.6,0.36,77.9,0,0.001519589
915,3.6,0.03,72,0,0.001330625
635,16.4,0.01,43.3,0,0.502564103
1745,11.5,0.29,54.1,0,0.804979253
755,9.7,0.12,49.3,0,0.001244016
913,9.6,0,74.1,0,0.001452664
1071,8,0.03,39,1.2,0.613333333
