"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","sndp","total_num_of_crimes"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,7.2,9.1,0.483245149911817
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,11.4,7.9,0.509700176366843
"3",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,31.7,5.1,0.506172839506173
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,37.6,2,0.527336860670194
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,33.5,1.2,0.555555555555556
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,42.4,1.2,0.659611992945326
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,31,0,0.578483245149912
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,20.3,0,0.619047619047619
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,26,0,0.557319223985891
"10",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,18.3,0,0.63668430335097
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,15.5,1.2,0.552028218694885
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,21.2,1.2,0.54673721340388
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,34,1.2,0.559082892416226
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,12.2,5.1,0.502645502645503
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,6.9,5.1,0.522045855379189
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,4.4,3.1,0.541446208112875
"17",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,6,3.1,0.525573192239859
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,23.5,3.1,0.53968253968254
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,16.4,3.9,0.500881834215168
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,-4.5,3.9,0.483245149911817
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,8.3,3.1,0.603174603174603
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,24,2,0.606701940035273
"23",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,24.9,2,0.589065255731922
"24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,26.8,3.9,0.677248677248677
"25",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,11.4,3.9,0.557319223985891
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,17.4,3.9,0.520282186948854
"27",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,7.3,9.1,0.55379188712522
"28",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,3,7.9,0.569664902998236
"29",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,15.7,9.8,0.522045855379189
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,6.9,7.9,0.490299823633157
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,5.4,7.9,0.476190476190476
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,10.6,7.1,0.485008818342152
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,22.2,7.1,0.507936507936508
"34",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,20.4,7.1,0.587301587301587
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,15.2,5.9,0.479717813051146
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,23.9,11,0.504409171075838
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,32.2,5.9,0.527336860670194
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,38.2,3.9,0.596119929453263
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,37,2,0.590828924162258
"40",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,35,1.2,0.567901234567901
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,29.9,1.2,0.507936507936508
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,23.8,0,0.513227513227513
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,19.1,0,0.534391534391534
