"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","sndp","wdsp","total_num_of_crimes"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,9.1,8.7,0.483245149911817
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,7.9,3.4,0.509700176366843
"3",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,5.1,7.2,0.506172839506173
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,2,10.7,0.527336860670194
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,1.2,11.8,0.555555555555556
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,1.2,12.2,0.659611992945326
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,10.9,0.578483245149912
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,11.7,0.619047619047619
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,12.6,0.557319223985891
"10",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,10.8,0.63668430335097
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,1.2,8.1,0.552028218694885
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,1.2,10.8,0.54673721340388
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,1.2,7.7,0.559082892416226
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,5.1,13.6,0.502645502645503
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,5.1,7.6,0.522045855379189
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,3.1,13,0.541446208112875
"17",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,3.1,14,0.525573192239859
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,3.1,16.7,0.53968253968254
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,3.9,10.4,0.500881834215168
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,3.9,9.2,0.483245149911817
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,3.1,8.9,0.603174603174603
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,2,15.3,0.606701940035273
"23",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,2,6.4,0.589065255731922
"24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,3.9,5.2,0.677248677248677
"25",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,3.9,3.5,0.557319223985891
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,3.9,3.7,0.520282186948854
