"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","wdsp","temp","total_num_of_crimes"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,8.7,7.2,0.483245149911817
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,3.4,11.4,0.509700176366843
"3",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,7.2,31.7,0.506172839506173
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,10.7,37.6,0.527336860670194
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,11.8,33.5,0.555555555555556
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,12.2,42.4,0.659611992945326
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,10.9,31,0.578483245149912
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,11.7,20.3,0.619047619047619
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,12.6,26,0.557319223985891
"10",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,10.8,18.3,0.63668430335097
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,8.1,15.5,0.552028218694885
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,10.8,21.2,0.54673721340388
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,7.7,34,0.559082892416226
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,13.6,12.2,0.502645502645503
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,7.6,6.9,0.522045855379189
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,13,4.4,0.541446208112875
"17",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,14,6,0.525573192239859
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,16.7,23.5,0.53968253968254
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,10.4,16.4,0.500881834215168
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,9.2,-4.5,0.483245149911817
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,8.9,8.3,0.603174603174603
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,15.3,24,0.606701940035273
"23",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,6.4,24.9,0.589065255731922
"24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,5.2,26.8,0.677248677248677
"25",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,3.5,11.4,0.557319223985891
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,3.7,17.4,0.520282186948854
"27",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,8.7,7.3,0.55379188712522
"28",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,9.6,3,0.569664902998236
