,day,prcp,total_num_of_crimes
597,5,0.82,0.613675214
608,6,0,0.747795414
1492,2,0,0.765873016
652,2,0,0.66468254
1504,4,0.21,0.777777778
1456,3,0.17,0.738095238
1178,3,0.05,0.761904762
1410,4,0,0.627722772
51,6,0.18,0.619047619
686,5,0.24,0.701940035
893,1,0.01,0.723809524
142,2,0,0.685714286
1620,4,0,0.601980198
903,7,0.77,0.524786325
1038,5,2.56,0.695049505
1241,3,0,0.657142857
1630,4,0.52,0.630952381
1736,5,0,0.710758377
1143,5,0,0.579487179
1925,5,0,0.681904762
673,1,0,0.661825726
1530,3,0,0.647524752
1289,4,0,0.84952381
1354,7,0.04,0.748015873
832,4,0,0.706349206
1345,1,0,0.703319502
108,5,0,0.678423237
1550,2,0,0.617283951
821,3,0,0.72952381
423,4,0,0.623931624
1207,6,0.01,0.765560166
489,1,0.07,0.487179487
1323,7,0,0.553846154
1900,7,0,0.571428571
1014,1,0,0.857425743
1104,2,0,0.788118812
1286,7,0,0.731922399
1702,2,0,0.676587302
2000,7,0,0.650793651
668,2,0.51,0.634920635
661,6,0,0.70746888
826,3,0.01,0.75
1427,6,0,0.647619048
1097,7,0,0.683809524
460,5,0,0.700396825
586,5,0.01,0.55952381
74,2,0.03,0.548717949
2061,4,0,0.533333333
461,6,0,0.598095238
480,3,0,0.60990099
950,7,0.33,0.610229277
1810,6,0,0.819444444
2184,7,0,0.637623762
981,6,0.09,0.646153846
1137,4,0.04,0.54017094
501,3,0.17,0.553846154
1969,7,0,0.701244813
730,1,0.38,0.706349206
1965,2,0,0.524786325
1168,4,0.35,0.773809524
954,5,0,0.693069307
1096,6,0,0.688492063
1388,3,0.13,0.717813051
2105,7,0,0.622857143
1958,7,0.01,0.599647266
1144,7,0,0.692460317
260,5,0,0.483760684
917,5,0,0.779047619
603,6,0,0.601709402
1773,5,0,0.625641026
1479,5,0,0.64957265
2019,4,0.1,0.574358974
1083,2,0.06,0.576068376
900,3,0,0.792079208
