,day,sndp,total_num_of_crimes
1840,4,0,0.716269841
1919,4,0,0.601904762
1973,6,0,0.660952381
1621,5,0,0.630705394
752,2,0,0.689594356
909,1,0,0.782905983
733,4,0,0.717842324
1992,3,2,0.663366337
1005,3,0,0.617094017
281,5,1.2,0.621782178
446,7,0,0.51675485
1893,4,0,0.55042735
371,5,0,0.582857143
134,5,0,0.675213675
1745,3,0,0.676190476
677,7,0,0.647619048
101,3,1.2,0.607920792
1827,7,0,0.709401709
2066,4,0,0.488536155
256,7,0,0.571428571
2172,5,0,0.685148515
721,2,0,0.755186722
1776,2,0,0.687128713
136,1,0,0.691428571
1490,6,0,0.647266314
1708,3,0,0.674603175
1515,4,0,0.548717949
1089,3,0,0.733333333
375,3,3.9,0.499145299
851,1,0,0.718095238
1438,7,0,0.757936508
576,5,0,0.631683168
1093,1,0,0.919087137
1834,3,0,0.672619048
1429,1,0,0.72406639
861,7,0,0.555555556
1940,4,0,0.552028219
15,7,2,0.569444444
64,3,0,0.552380952
1898,4,0,0.532627866
2143,1,0,0.713692946
987,7,0,0.68034188
1592,2,0,0.689594356
131,1,0,0.665346535
842,3,0,0.643738977
1536,4,0,0.617821782
1749,1,0,0.652991453
917,5,0,0.779047619
572,7,0,0.574955908
75,3,2,0.621031746
459,3,0,0.521367521
119,6,0,0.651485149
359,3,0,0.664761905
518,5,0,0.633156966
2171,4,2,0.539047619
1995,7,0,0.487179487
605,2,0,0.67047619
1794,5,0,0.75049505
1301,6,0,0.84
1418,1,0,0.677248677
570,4,0,0.651485149
1598,3,0,0.717813051
848,4,0,0.687830688
656,7,0,0.560846561
947,3,0,0.716190476
1362,3,0,0.827722772
228,4,0,0.695020747
735,7,0,0.593162393
1265,7,0,0.708571429
531,1,0,0.611965812
583,7,0,0.699170124
179,2,0,0.588118812
1962,5,0,0.673267327
1907,2,0,0.643809524
1566,2,0,0.706930693
722,4,0,0.756613757
551,7,0,0.580952381
1637,6,0,0.603809524
563,2,0,0.683809524
633,4,0,0.572649573
325,1,0,0.534391534
1291,6,0,0.842323651
1434,1,0,0.77029703
2027,1,0,0.71047619
593,7,0,0.697142857
519,6,0,0.533333333
412,4,0,0.623015873
1360,1,0,0.744047619
1968,6,0,0.59009901
689,2,0,0.718095238
175,4,2,0.60670194
407,4,0,0.580952381
723,5,0,0.765811966
783,1,0,0.625641026
787,6,0,0.661825726
681,5,0,0.67008547
1541,4,0,0.632380952
1643,7,0,0.727619048
1462,4,0,0.886904762
1542,5,0,0.75049505
2051,5,0,0.643809524
1158,4,0,0.746534653
1316,5,0,0.62962963
1344,7,0,0.811881188
2043,1,0,0.591452991
2041,5,0,0.692946058
1495,5,0,0.728215768
1015,2,0,0.705394191
1920,5,0,0.681188119
337,3,0,0.57319224
615,1,0,0.625641026
613,5,0,0.699170124
93,6,0,0.575396825
1989,6,0,0.531623932
1259,6,0,0.678095238
1950,3,0,0.697029703
165,4,0,0.678571429
1752,5,0,0.712871287
526,2,0,0.726190476
1833,1,0,0.687179487
111,2,0,0.593253968
1865,2,0,0.588571429
1386,7,0,0.75049505
1943,1,0,0.653333333
161,6,0,0.621782178
2097,3,0,0.564102564
1179,4,0,0.531623932
98,6,1.2,0.591452991
2184,7,0,0.637623762
1436,4,0,0.670194004
1366,2,0,0.716269841
449,4,1.2,0.59047619
1484,5,0,0.687830688
1770,1,0,0.655445545
1293,2,0,0.581196581
993,1,0,0.564102564
1647,5,0,0.632478632
1021,3,0,0.761410788
497,5,0,0.712380952
2115,6,0,0.514529915
964,5,0,0.626984127
2001,1,0,0.569230769
1459,6,0,0.701244813
557,1,0,0.620952381
1585,6,0,0.7406639
1562,4,0,0.735449735
1064,5,0,0.770723104
935,1,0,0.67047619
471,5,0,0.629059829
1913,3,0,0.636190476
1066,1,0,0.746031746
1175,6,0,0.782857143
1677,3,0,0.586324786
1152,3,0,0.732673267
590,3,0,0.666666667
1063,3,0,0.809128631
1922,1,0,0.534391534
1967,5,0,0.605714286
482,6,0,0.617283951
1095,4,0,0.6
1779,6,0,0.577777778
1080,5,0,0.700990099
1445,2,0,0.676190476
1431,4,0,0.630769231
2004,5,1.2,0.689108911
970,6,0,0.777777778
745,6,0,0.657676349
1857,5,0,0.642735043
2037,7,0,0.538461538
1860,2,0,0.738613861
1474,6,0,0.706349206
1076,7,0,0.693121693
646,1,0,0.676587302
1804,5,0,0.712301587
235,7,9.8,0.522045855
1735,3,0,0.751037344
2085,1,0,0.593162393
2040,4,0,0.631683168
53,2,1.2,0.633663366
1499,4,0,0.666666667
1791,1,0,0.651282051
2108,4,0,0.580246914
452,1,0,0.615520282
1551,3,0,0.629059829
1358,5,0,0.703703704
944,6,0,0.754850088
366,5,0,0.702970297
1629,2,0,0.576068376
1963,6,0,0.67219917
1068,3,0,0.768316832
1329,1,0,0.639316239
2017,1,0,0.661825726
1512,7,0,0.596039604
1113,7,0,0.717948718
1458,5,0,0.720792079
1109,2,0,0.740952381
1676,2,0,0.627865961
1719,3,0,0.641025641
1013,7,0,0.697142857
1556,3,0,0.714285714
139,5,3.1,0.525573192
854,5,0,0.670194004
346,1,0,0.575238095
515,1,0,0.697142857
1673,5,0,0.624761905
1193,2,0,0.702857143
1931,6,0,0.611428571
1559,7,0,0.683809524
1121,4,0,0.653333333
932,4,0,0.698412698
564,3,0,0.63960396
1800,6,0,0.681188119
1053,4,0,0.652991453
1365,7,0,0.71965812
741,1,0,0.625641026
289,2,5.9,0.527336861
2170,3,0,0.654761905
501,3,0,0.553846154
1300,5,0,0.78968254
1402,1,0,0.716269841
1120,3,0,0.702380952
1615,4,0,0.668049793
503,6,0,0.613333333
71,5,0,0.63960396
1194,3,0,0.792079208
1425,3,0,0.596581197
568,2,0,0.654761905
125,7,0,0.627722772
1010,3,0,0.664902998
1884,6,0,0.6
494,1,0,0.601410935
1298,2,0,0.633156966
466,6,0,0.595238095
1796,1,0,0.626102293
423,4,0,0.623931624
1485,6,0,0.572649573
244,5,0,0.664761905
717,4,0,0.548717949
1413,1,0,0.579487179
907,5,0,0.778008299
1728,1,0,0.627722772
1206,5,0,0.734653465
2061,4,0,0.533333333
2074,1,3.1,0.58531746
823,5,0,0.771784232
1442,5,0,0.731922399
1359,6,0,0.617094017
470,4,0,0.700176367
1126,4,0,0.738095238
582,6,0,0.6
1466,2,0,0.677248677
1605,5,0,0.65982906
1428,7,0,0.726732673
774,3,0,0.756435644
1307,7,0,0.773333333
984,3,0,0.742574257
560,5,0,0.652557319
1133,6,0,0.693333333
1871,3,0,0.695238095
802,6,0,0.662698413
565,4,0,0.641078838
2015,6,0,0.659047619
1937,7,0,0.601904762
1020,2,0,0.716831683
1250,1,0,0.733686067
1155,7,0,0.622222222
763,2,0,0.692946058
1202,7,0,0.668430335
1991,2,0,0.691428571
1839,2,0,0.598290598
269,3,5.9,0.588118812
260,5,3.1,0.483760684
1319,2,0,0.706666667
1772,4,0,0.596119929
870,5,0,0.772277228
66,5,0,0.730290456
416,2,0,0.604938272
1084,4,0,0.746031746
863,3,0,0.681904762
2089,6,0,0.670124481
986,6,0,0.691358025
1746,4,0,0.64950495
1623,1,0,0.611965812
1264,6,0,0.884920635
171,5,0,0.634920635
700,3,0,0.648809524
879,3,0,0.627350427
1571,2,0,0.651428571
1331,4,0,0.67047619
1918,3,0,0.720238095
1901,1,0,0.636190476
1235,2,0,0.725714286
940,1,0,0.706349206
1016,4,0,0.724867725
