,day,sndp,temp,total_num_of_crimes
45,5,1.2,41.9,0.704365079
2178,6,0,29.5,0.61980198
242,2,3.9,28.4,0.524786325
835,7,0,66.1,0.736514523
1340,2,0,67.8,0.596119929
345,6,0,38.1,0.583333333
1073,3,0,69.8,0.695238095
656,7,0,61.2,0.560846561
1278,3,0,73.7,0.869306931
720,1,0,57.9,0.774257426
1015,2,0,65.1,0.705394191
201,3,0,37.3,0.654761905
1430,3,0,75.1,0.659611993
64,3,0,33.9,0.552380952
1567,3,0,72.6,0.668049793
770,5,0,72.5,0.740740741
746,1,0,50.9,0.758377425
1464,6,0,76.9,0.805940594
1116,4,0,80.3,0.776237624
1808,3,0,48.5,0.675485009
1847,6,0,46,0.678095238
1057,2,0,74,0.807053942
1462,4,0,70.2,0.886904762
1102,7,0,70.4,0.75
1306,6,0,76.6,0.751984127
1241,3,0,76.6,0.657142857
775,4,0,63.2,0.721991701
147,1,0,34.3,0.686507937
1894,6,0,45.3,0.708333333
1524,2,0,67.5,0.663366337
1048,5,0,73.3,0.720238095
935,1,0,71.3,0.67047619
1801,7,0,50.3,0.657676349
471,5,0,44,0.629059829
548,3,0,41.8,0.668430335
1539,1,0,67.4,0.6
199,1,3.9,11.4,0.557319224
795,3,0,49.6,0.591452991
902,6,0,72.9,0.638447972
1078,3,0,67.9,0.78968254
820,2,0,55.4,0.698412698
2126,7,0,35.1,0.523809524
833,5,0,48.3,0.678095238
657,1,0,50.8,0.61025641
299,1,0,44.5,0.617821782
894,2,0,77.7,0.827722772
2007,2,0,43.5,0.608547009
2014,5,0,38.6,0.678571429
1678,5,0,67,0.771825397
1706,7,0,53.9,0.574955908
1210,4,0,82.5,0.724206349
686,5,0,57.9,0.701940035
922,5,0,72.7,0.740079365
1529,2,0,67,0.651428571
1250,1,0,68,0.733686067
79,2,0,31,0.578483245
1686,1,0,70.9,0.657425743
2127,1,0,47.8,0.543589744
1254,6,0,71.9,0.744554455
8,5,0,28.4,0.538461538
1173,3,0,68.2,0.632478632
1369,5,0,73.2,0.711618257
1036,3,0,73.3,0.755952381
1156,2,0,82.9,0.722222222
589,1,0,62.7,0.744813278
360,4,0,39.5,0.702970297
1063,3,0,79.3,0.809128631
213,5,0,30.5,0.609126984
2143,1,0,42.8,0.713692946
753,3,0,60.1,0.579487179
1505,5,0,63.5,0.613333333
1641,4,0,57.4,0.711111111
1310,4,0,74.4,0.767195767
971,7,0,82.1,0.68952381
1281,7,0,82.5,0.676923077
1449,7,0,71,0.634188034
1543,6,0,68.4,0.757261411
578,1,0,46,0.643738977
135,6,1.2,30,0.615079365
627,3,0,56,0.647863248
880,5,0,76.1,0.714285714
1741,4,0,47,0.67219917
1695,6,0,55.6,0.58974359
1221,4,0,77.7,0.676923077
978,2,0,70.6,0.772277228
1996,2,0,51.5,0.668650794
2115,6,0,25.3,0.514529915
771,6,0,60.4,0.541880342
515,1,0,50,0.697142857
1699,4,0,62.9,0.639004149
1106,5,0,70.1,0.680776014
735,7,0,70.1,0.593162393
259,4,7.1,22.2,0.507936508
595,2,0,60.9,0.649377593
1930,5,0,62.8,0.718253968
675,4,0,44.5,0.629059829
1858,7,0,58.3,0.66468254
442,2,0,52.1,0.726190476
525,7,0,34.9,0.478632479
464,3,0,43.9,0.682539683
1889,6,0,30.1,0.607619048
1793,4,0,48.2,0.68952381
76,5,0,22.9,0.681904762
1042,4,0,72.3,0.734126984
1594,5,0,74,0.712301587
1727,7,0,60.9,0.563809524
956,1,0,65.9,0.701940035
1853,7,0,51.5,0.632380952
736,2,0,55,0.700396825
1455,1,0,74.8,0.622222222
1300,5,0,80.1,0.78968254
1395,5,0,71.7,0.71965812
561,6,0,42.9,0.582905983
1314,2,0,76.5,0.699009901
1717,7,0,48.1,0.628630705
1687,2,0,59.8,0.726141079
2084,7,0,49.3,0.57319224
767,1,0,46.6,0.607619048
1041,2,0,77.2,0.601709402
760,6,0,65.1,0.682539683
854,5,0,60.1,0.670194004
1215,3,0,75.9,0.652991453
832,4,0,57.5,0.706349206
1107,6,0,72.2,0.705982906
717,4,0,48,0.548717949
1718,2,0,64.7,0.633156966
698,7,0,48.9,0.562610229
536,1,0,53.7,0.590828924
1172,2,0,64.8,0.712522046
1608,2,0,73.2,0.627722772
650,6,0,47.3,0.590828924
1576,2,0,77.3,0.755952381
1441,3,0,69.6,0.709543568
1514,3,0,74.6,0.647266314
305,2,0,59.3,0.598019802
2089,6,0,34.2,0.670124481
2060,3,0,33.9,0.649029982
224,6,11,33.6,0.502564103
1021,3,0,67.4,0.761410788
996,5,0,76.6,0.754455446
991,5,0,66,0.79253112
1388,3,0,78.2,0.717813051
1877,4,0,39,0.582857143
638,4,0,50.7,0.767195767
633,4,0,54.8,0.572649573
1445,2,0,70,0.676190476
2098,5,3.1,14.4,0.656746032
964,5,0,77.2,0.626984127
118,5,0,38.7,0.693333333
1821,6,0,48.8,0.547008547
1203,1,0,77.6,0.697435897
1688,4,0,56.6,0.555555556
263,2,11,24.5,0.615841584
802,6,0,47.7,0.662698413
1673,5,0,65.2,0.624761905
1804,5,0,51.6,0.712301587
2023,2,0,33.5,0.632780083
1860,2,0,48.3,0.738613861
1604,4,0,66.8,0.634920635
1639,1,0,73.9,0.736514523
1752,5,0,49.1,0.712871287
1251,2,0,82.9,0.673504274
1729,2,0,52.3,0.736514523
2066,4,0,30.6,0.488536155
1865,2,0,43.4,0.588571429
1523,1,0,64,0.64952381
1631,5,0,64.3,0.687619048
969,4,0,72.1,0.694017094
1368,4,0,77.3,0.758415842
702,5,0,51.9,0.720792079
161,6,0,48.5,0.621782178
1919,4,0,36.2,0.601904762
2114,5,0,31.2,0.67372134
1026,3,0,70.4,0.930693069
1637,6,0,61.8,0.603809524
953,4,0,70.4,0.672380952
325,1,0,19.1,0.534391534
2055,3,0,48.2,0.517948718
1442,5,0,77.7,0.731922399
52,1,0,23.1,0.56952381
1714,4,0,49.6,0.650793651
1391,7,0,77.2,0.672380952
