,day,temp,total_num_of_crimes
1751,4,61.1,0.683809524
923,6,75.2,0.727619048
1548,6,70.3,0.742574257
1350,1,77.9,0.78019802
1708,3,63.8,0.674603175
1803,3,53.8,0.555555556
1514,3,74.6,0.647266314
822,4,65.2,0.714851485
1510,5,75.2,0.71031746
1706,7,53.9,0.574955908
1306,6,76.6,0.751984127
1637,6,61.8,0.603809524
930,1,68,0.730693069
943,4,66.4,0.697095436
1383,3,73.9,0.618803419
1685,7,65.5,0.617142857
417,3,44.7,0.584615385
1153,4,78.7,0.786307054
1325,3,74.6,0.725714286
1877,4,39,0.582857143
1084,4,72.3,0.746031746
1512,7,65,0.596039604
2036,6,39,0.567901235
1799,5,45.3,0.752380952
1516,6,70.3,0.662698413
2070,2,30.5,0.60990099
407,4,39.3,0.580952381
981,6,69.7,0.646153846
1163,4,78.4,0.693333333
383,7,42.4,0.575238095
1142,4,71.3,0.698412698
1283,3,77.2,0.695238095
2171,4,7.2,0.539047619
823,5,57.5,0.771784232
880,5,76.1,0.714285714
993,1,76.4,0.564102564
110,1,34,0.570940171
1106,5,70.1,0.680776014
1342,5,81.5,0.71031746
462,7,40.8,0.627722772
91,4,26,0.557319224
891,5,75.7,0.682051282
591,4,54.6,0.553846154
45,5,41.9,0.704365079
815,2,76.9,0.647619048
1448,6,79.5,0.707231041
715,1,46.8,0.701244813
2184,7,27,0.637623762
1402,1,69.6,0.716269841
927,4,71,0.623931624
1520,4,56.6,0.624338624
410,1,45.7,0.705467372
169,3,8.3,0.603174603
1493,3,58.4,0.548571429
1547,5,74.9,0.725714286
1168,4,76.5,0.773809524
1359,6,78,0.617094017
1225,2,70.8,0.796680498
1686,1,70.9,0.657425743
587,6,51.2,0.594285714
1341,3,72.7,0.635897436
1460,1,78.8,0.814814815
2053,7,39.9,0.622406639
1745,3,60,0.676190476
1315,3,77.8,0.751037344
1561,2,70.3,0.755186722
1527,6,59.2,0.541880342
1098,1,77.2,0.835643564
1829,3,39.8,0.727619048
1792,3,48.3,0.617063492
1642,6,62.1,0.76984127
1951,4,47.8,0.680497925
973,2,69.9,0.796680498
1309,2,77.1,0.746887967
1540,3,71.6,0.700396825
1069,4,77.9,0.784232365
459,3,38.8,0.521367521
122,3,34.2,0.6
735,7,70.1,0.593162393
685,3,53.9,0.690871369
577,6,52.3,0.726141079
1231,3,71.7,0.736514523
2121,7,37.8,0.552136752
1553,6,77.8,0.697142857
250,6,42.7,0.584761905
1876,3,51.5,0.593253968
1307,7,71.9,0.773333333
1688,4,56.6,0.555555556
1495,5,68.4,0.728215768
479,2,43.3,0.619047619
49,4,11.4,0.509700176
303,6,51.2,0.567460317
1753,6,56.3,0.65560166
2038,2,34.2,0.634920635
235,7,15.7,0.522045855
1936,6,38.9,0.589285714
1663,5,54.1,0.682572614
1511,6,64.5,0.60952381
1703,3,59.5,0.582857143
271,6,15.2,0.479717813
779,3,55.4,0.615238095
1054,6,79.5,0.726190476
1588,4,75,0.740079365
1420,4,77.9,0.765873016
202,5,20.7,0.588571429
1112,6,72,0.705467372
870,5,78.5,0.772277228
501,3,40.7,0.553846154
1843,7,40.4,0.742738589
2010,6,38.5,0.722772277
2179,7,54.3,0.701244813
149,4,32.9,0.657425743
1925,5,39.5,0.681904762
1320,3,74.6,0.706930693
1523,1,64,0.64952381
1626,5,58.2,0.714851485
1774,7,58,0.700396825
1061,1,64.7,0.68952381
16,2,40.3,0.617142857
843,4,54.7,0.579487179
214,7,34,0.577142857
50,5,10.3,0.488888889
1032,4,66.5,0.663366337
651,7,57.5,0.562393162
583,7,59.4,0.699170124
1661,3,70.7,0.624761905
413,5,31.8,0.588571429
1944,2,32.3,0.655445545
2014,5,38.6,0.678571429
1798,4,49,0.646825397
629,6,70.3,0.704761905
1850,3,49.5,0.671957672
733,4,45.8,0.717842324
902,6,72.9,0.638447972
872,1,76.5,0.619047619
1559,7,78.4,0.683809524
1380,6,76.7,0.772277228
1222,6,86,0.748015873
997,6,67.4,0.7406639
184,2,38.2,0.624761905
236,1,29.3,0.488888889
1985,1,46.3,0.662857143
1845,3,60.3,0.673504274
556,7,43.1,0.615079365
1501,6,68.1,0.730290456
867,1,74.3,0.582905983
1432,6,75.9,0.797619048
1727,7,60.9,0.563809524
1502,1,70.6,0.555555556
1486,1,77.6,0.75
65,4,56.6,0.611881188
1721,6,64.6,0.554285714
1287,1,77.8,0.629059829
1116,4,80.3,0.776237624
747,2,56.1,0.558974359
309,7,41.5,0.589285714
1053,4,73.4,0.652991453
198,6,26.6,0.643153527
900,3,77.5,0.792079208
1677,3,62.3,0.586324786
901,4,66.9,0.697095436
490,3,45.7,0.652777778
1323,7,74.6,0.553846154
502,5,35.8,0.670634921
1921,6,34.7,0.636929461
1438,7,78.5,0.757936508
1712,1,62.9,0.590828924
682,7,59.6,0.662698413
1023,6,67.4,0.656410256
244,5,26.7,0.664761905
672,7,51,0.605940594
744,5,67.9,0.772277228
449,4,29.8,0.59047619
1618,2,62.4,0.700396825
2008,4,38.9,0.716269841
1740,3,47.6,0.601980198
356,6,26.3,0.582010582
76,5,22.9,0.681904762
2130,5,36.9,0.655445545
1010,3,79.7,0.664902998
564,3,32.8,0.63960396
1760,2,52.5,0.659611993
1732,7,69.4,0.712301587
263,2,24.5,0.615841584
1587,2,67.8,0.603418803
866,7,68,0.634920635
1543,6,68.4,0.757261411
695,3,71.3,0.685714286
1595,6,84.4,0.733333333
1984,7,39.4,0.615079365
1612,1,67.8,0.724206349
2033,2,41.3,0.674285714
1730,4,55.4,0.608465608
1497,1,83.6,0.647863248
2120,6,33,0.62962963
521,2,43.1,0.607619048
1303,1,80.1,0.769709544
2076,3,36,0.724752475
1489,4,64.8,0.649377593
1992,3,22.1,0.663366337
514,7,50.2,0.593253968
2075,2,25.2,0.603809524
903,7,48.7,0.524786325
1786,2,48.5,0.694444444
1170,6,78.3,0.669306931
1717,7,48.1,0.628630705
130,7,43.9,0.655238095
1339,7,75.7,0.794605809
520,1,46.2,0.783730159
1356,2,80.5,0.75049505
1719,3,54.4,0.641025641
1434,1,86.2,0.77029703
1107,6,72.2,0.705982906
1313,1,70.5,0.723809524
323,5,40.7,0.635643564
1286,7,76.8,0.731922399
974,4,69.6,0.694885362
1513,1,67.5,0.742738589
1291,6,76.5,0.842323651
948,4,73.8,0.78019802
2065,2,23.2,0.663900415
631,1,39.9,0.686721992
