,day,wdsp,total_num_of_crimes
409,6,10.5,0.630705394
1564,7,3.6,0.670634921
1645,2,8.2,0.875518672
283,1,8.7,0.504409171
973,2,6.8,0.796680498
2069,1,6.5,0.697142857
1057,2,11.4,0.807053942
706,4,9.8,0.712301587
2158,1,14.4,0.579365079
1629,2,9.3,0.576068376
1830,4,10.1,0.853465347
219,6,7.3,0.557539683
1765,1,12.3,0.699170124
275,4,5.8,0.625742574
827,4,16.6,0.67047619
1152,3,6.7,0.732673267
305,2,11.5,0.598019802
137,2,10.1,0.673267327
849,5,7.5,0.673504274
1522,7,4.8,0.660714286
536,1,11.7,0.590828924
1412,7,5.8,0.634920635
228,4,8.6,0.695020747
624,6,16.9,0.586138614
1386,7,5.4,0.75049505
1189,3,4.3,0.757261411
1977,4,12.9,0.499145299
1091,6,8.8,0.80952381
133,4,13,0.541446208
189,1,5.4,0.777777778
781,5,8.8,0.77593361
1121,4,5.1,0.653333333
1928,2,15.2,0.552028219
282,6,7.6,0.647302905
897,6,10.3,0.565811966
998,1,6.9,0.758377425
736,2,5.4,0.700396825
1479,5,6.1,0.64957265
2139,3,10.7,0.603418803
312,4,12.3,0.711618257
365,4,10,0.540952381
1724,3,8.4,0.679012346
535,6,11.3,0.645228216
1235,2,7.3,0.725714286
1594,5,6.5,0.712301587
1934,3,12.2,0.532627866
1824,3,7.5,0.869306931
440,6,9.7,0.62962963
737,3,6,0.664761905
1115,3,6.4,0.824761905
1440,2,12.8,0.76039604
453,2,15,0.565811966
855,6,6.7,0.647863248
1434,1,13.8,0.77029703
1623,1,5.2,0.611965812
846,1,5.8,0.702970297
487,5,10.4,0.678423237
1331,4,7.7,0.67047619
479,2,9.5,0.619047619
263,2,5.7,0.615841584
236,1,13.4,0.488888889
771,6,7.2,0.541880342
1300,5,6.7,0.78968254
1373,4,12.4,0.687619048
1664,7,9.9,0.576719577
1276,1,6.1,0.827380952
1309,2,7.5,0.746887967
100,2,7.7,0.619047619
1348,6,7.2,0.755952381
1666,3,9.4,0.714285714
428,4,7.8,0.611992945
2041,5,9.6,0.692946058
1627,6,9.3,0.649377593
2011,7,9.1,0.686721992
1967,5,10,0.605714286
1451,3,4.4,0.699047619
1384,5,7.2,0.704365079
1932,7,6.4,0.596039604
1650,2,5.6,0.625742574
318,5,6,0.697095436
1580,7,11.4,0.680776014
992,7,12.7,0.728395062
1976,3,5.2,0.562610229
581,5,11.8,0.619047619
178,1,9.7,0.655238095
1730,4,7.6,0.608465608
1151,2,4.4,0.681904762
663,2,16.2,0.547008547
1631,5,9.6,0.687619048
1842,6,4.2,0.687128713
1511,6,8.9,0.60952381
1865,2,10.3,0.588571429
619,6,11.2,0.657676349
1061,1,10.5,0.68952381
1308,1,7.1,0.762376238
412,4,7.9,0.623015873
1849,1,9.8,0.624481328
1108,1,6.1,0.777777778
2102,3,11.1,0.620811287
1556,3,4.2,0.714285714
924,7,10.8,0.78019802
853,3,12.8,0.7406639
739,5,10.4,0.751037344
1336,4,8.6,0.791666667
657,1,14.1,0.61025641
609,7,8,0.611965812
1505,5,5.3,0.613333333
1984,7,8.1,0.615079365
2087,4,10.7,0.622857143
790,4,8.4,0.650793651
1478,4,10.9,0.613756614
2016,7,7.2,0.623762376
1404,3,9.2,0.722772277
1895,7,3.5,0.573333333
2031,6,7.1,0.541880342
1334,1,7,0.701940035
1144,7,4.7,0.692460317
1684,6,5.8,0.650793651
1150,1,9.2,0.628968254
1145,1,8.4,0.697142857
417,3,6.5,0.584615385
1256,2,6.2,0.687830688
1793,4,7.5,0.68952381
1066,1,8.8,0.746031746
943,4,5.5,0.697095436
1707,1,12.6,0.582905983
621,2,5.1,0.658119658
1502,1,4.8,0.555555556
871,6,10.2,0.794605809
1866,3,14.5,0.631683168
504,7,13.4,0.611881188
2054,2,11.4,0.552028219
1855,2,9.2,0.647302905
936,2,11.2,0.706930693
2056,5,9.4,0.593253968
181,5,6.4,0.589065256
2098,5,7.2,0.656746032
2190,1,8,0.641584158
1882,4,10.8,0.619047619
481,4,9.2,0.626556017
112,4,6.3,0.660952381
1871,3,4.6,0.695238095
2131,6,7.3,0.663900415
1762,5,11.5,0.706349206
580,4,11.9,0.748015873
1926,6,5.8,0.586138614
1806,7,10.4,0.621782178
1466,2,6.8,0.677248677
2070,2,7,0.60990099
127,3,7.6,0.522045855
1876,3,8.8,0.593253968
740,7,9.6,0.603174603
1010,3,9.9,0.664902998
259,4,6.8,0.507936508
1798,4,7.4,0.646825397
470,4,9.3,0.700176367
942,3,7.1,0.752475248
1116,4,6.7,0.776237624
1381,7,7.6,0.755186722
638,4,12.7,0.767195767
355,1,14.6,0.619047619
711,3,5.2,0.615384615
559,3,8.9,0.634854772
432,2,9.2,0.60990099
1257,3,8,0.601709402
1699,4,7,0.639004149
1064,5,8,0.770723104
1689,5,10.9,0.6
1538,7,4.6,0.610229277
329,6,9.5,0.594059406
840,7,9.1,0.697029703
682,7,7,0.662698413
1097,7,7.4,0.683809524
1299,3,5.1,0.618803419
1203,1,5.8,0.697435897
1912,2,3,0.628968254
1294,4,5.6,0.765873016
1574,6,10.8,0.682539683
2049,2,9.4,0.576068376
1279,4,5.5,0.883817427
403,5,5.2,0.670124481
1781,2,11,0.651428571
503,6,10.6,0.613333333
476,5,7.8,0.679012346
12,3,6.7,0.630705394
554,4,11.5,0.594356261
894,2,4.6,0.827722772
88,7,2.5,0.537142857
21,1,10.5,0.615079365
2132,1,8.1,0.536155203
996,5,6.7,0.754455446
1224,1,8.8,0.81980198
1919,4,10.4,0.601904762
1313,1,6.6,0.723809524
921,3,6,0.666666667
1542,5,4.6,0.75049505
81,4,8.6,0.662698413
1853,7,2.9,0.632380952
856,1,5.7,0.753968254
1946,5,6.9,0.610229277
1353,5,8.3,0.623931624
2035,4,5.3,0.670124481
1426,5,5,0.706349206
55,5,7.2,0.50617284
2012,2,8.7,0.564373898
1200,4,7.4,0.724752475
1213,7,9.1,0.757261411
722,4,12.1,0.756613757
1473,4,7.5,0.743589744
381,4,8.9,0.500854701
1622,7,3.5,0.694885362
820,2,8.4,0.698412698
1443,6,5.6,0.611965812
605,2,7.8,0.67047619
1970,2,13.8,0.541446208
1268,4,7.1,0.69664903
416,2,6.8,0.604938272
394,1,11.1,0.755952381
1250,1,13.3,0.733686067
1168,4,12,0.773809524
1495,5,8.8,0.728215768
1379,5,10.3,0.76952381
608,6,10.5,0.747795414
1873,5,7.6,0.649377593
764,4,10.3,0.641975309
1338,6,6.1,0.796039604
743,4,11.9,0.638095238
927,4,7.2,0.623931624
2086,3,10.7,0.557539683
50,5,15,0.488888889
1663,5,9.6,0.682572614
1898,4,10.4,0.532627866
1474,6,6.5,0.706349206
944,6,5,0.754850088
738,4,6.4,0.708910891
985,4,13.9,0.676348548
1701,7,9.8,0.598290598
1178,3,6.7,0.761904762
1582,3,7.5,0.688492063
587,6,9.2,0.594285714
419,6,8.2,0.542857143
672,7,9.2,0.605940594
890,4,8.5,0.608465608
775,4,10.6,0.721991701
1112,6,7.5,0.705467372
1774,7,8.2,0.700396825
411,2,6.2,0.644444444
1012,6,5.5,0.636904762
748,4,12.6,0.615079365
632,3,10.2,0.67372134
495,2,9.1,0.548717949
124,6,7.1,0.64952381
1784,6,8.8,0.634920635
1534,2,7.8,0.71031746
214,7,10.2,0.577142857
548,3,9,0.668430335
814,1,10.2,0.759920635
1320,3,4.2,0.706930693
948,4,6.4,0.78019802
1464,6,9.3,0.805940594
1657,4,8.2,0.711618257
1954,2,4.9,0.648809524
837,3,9.1,0.635897436
864,4,5.3,0.805940594
1366,2,7.2,0.716269841
720,1,9.5,0.774257426
1554,7,6.8,0.691089109
2100,7,5.8,0.627722772
255,5,10.4,0.573412698
1772,4,6.4,0.596119929
613,5,14.9,0.699170124
649,4,10.9,0.661825726
2127,1,12.8,0.543589744
2072,5,7.5,0.627865961
1597,1,9.5,0.717842324
1560,1,3.9,0.675247525
1220,3,14.5,0.71957672
