,day,wdsp,prcp,total_num_of_crimes
1880,1,8.3,0,0.62962963
658,3,9.2,0,0.676587302
759,4,7.8,0,0.61025641
761,7,8.5,0,0.577142857
995,4,7.9,1.05,0.752380952
1016,4,6.8,0.84,0.724867725
1561,2,6.9,0,0.755186722
2106,1,6.8,0,0.621782178
241,1,6.7,0,0.490299824
691,4,3.5,0,0.721991701
1535,3,5.2,0,0.626666667
688,1,12,0,0.71031746
567,7,10.3,0,0.538461538
954,5,6.8,0,0.693069307
1018,7,6.7,0,0.714285714
1634,2,11.5,0,0.661375661
511,2,6.4,0,0.684647303
668,2,10.9,0.51,0.634920635
2084,7,7.3,0,0.57319224
1079,4,11.5,0.24,0.681904762
1474,6,6.5,0,0.706349206
631,1,7.8,0.4,0.686721992
961,7,6.8,0,0.763485477
869,4,10.4,0.01,0.725714286
575,4,18.7,1.35,0.605714286
745,6,6.6,0.02,0.657676349
466,6,7.3,0,0.595238095
274,3,12.1,0,0.596190476
801,4,8.7,0,0.641025641
1162,3,7.9,0,0.656746032
955,6,9.2,0,0.809128631
729,6,5.8,0,0.521367521
459,3,4.3,0,0.521367521
59,3,10.6,0,0.671287129
1373,4,12.4,0.21,0.687619048
935,1,9,0,0.67047619
1900,7,8.9,0,0.571428571
51,6,6.2,0.18,0.619047619
129,5,7.6,0,0.64484127
719,7,15,1.88,0.6
572,7,6.4,0,0.574955908
1473,4,7.5,0,0.743589744
1666,3,9.4,0,0.714285714
10,1,6.1,0,0.567619048
1222,6,4.5,0.01,0.748015873
1421,5,5.5,0,0.622857143
1398,2,7.3,0.29,0.691089109
661,6,16,0,0.70746888
956,1,7.3,0.21,0.701940035
1173,3,10,0,0.632478632
1586,1,6.2,0,0.686067019
439,4,15,0.32,0.676348548
1050,7,6.3,0,0.805940594
788,1,11.2,0.41,0.701940035
406,3,9.4,0.06,0.654761905
1712,1,7,0.01,0.590828924
1284,4,7.8,0.04,0.861386139
2107,2,10.2,0,0.653526971
1506,6,15.4,0.08,0.621782178
470,4,9.3,0.24,0.700176367
1602,1,6.7,0,0.742574257
1890,7,8,0,0.588118812
1127,5,9.1,0,0.683809524
253,3,4.7,0,0.485008818
348,3,8.6,0,0.645228216
1218,7,11.9,0.06,0.778217822
551,7,6.2,0,0.580952381
2131,6,7.3,0,0.663900415
948,4,6.4,0.04,0.78019802
1282,2,5.4,0,0.76984127
775,4,10.6,0.38,0.721991701
1907,2,7.3,0,0.643809524
733,4,7.6,0.04,0.717842324
534,5,7.7,0,0.647524752
1789,5,3.8,0,0.695020747
1864,1,4.8,0,0.680555556
1355,1,4.8,0,0.699047619
914,1,14.3,0,0.758377425
1664,7,9.9,0.05,0.576719577
1420,4,6.6,0.36,0.765873016
1164,5,7.9,0,0.76039604
183,7,7.6,0,0.613095238
967,1,10.3,0.03,0.765560166
1932,7,6.4,0.15,0.596039604
692,6,10.6,0.01,0.62962963
432,2,9.2,0,0.60990099
1498,3,9.5,0,0.654761905
1911,7,8.3,0,0.555555556
1422,6,9.1,0.11,0.76039604
440,6,9.7,0,0.62962963
493,6,3.6,0,0.692946058
1199,3,6.8,0,0.704761905
907,5,6.9,0,0.778008299
542,2,17.1,0.03,0.78659612
1157,3,8.2,0.05,0.60952381
1029,7,7.8,0.22,0.632478632
1377,2,7.1,0.7,0.678632479
410,1,13,0,0.705467372
1267,2,6.3,0.68,0.778008299
1744,2,14.2,0,0.746031746
924,7,10.8,0.54,0.78019802
1281,7,12.6,0,0.676923077
172,7,9,0,0.586666667
390,2,8.4,0.08,0.615841584
1799,5,13.6,0,0.752380952
953,4,4.3,0,0.672380952
723,5,5.5,0,0.765811966
544,5,8.1,0.05,0.797619048
219,6,7.3,0,0.557539683
611,3,5.6,0,0.672380952
589,1,6.9,0.08,0.744813278
1732,7,7.8,0.54,0.712301587
1099,2,8.1,0,0.715767635
321,2,6.1,0,0.597222222
1968,6,10,0.17,0.59009901
1508,2,6.6,0.01,0.633156966
76,5,8.8,0.03,0.681904762
413,5,12.1,0,0.588571429
1566,2,5.3,0,0.706930693
1404,3,9.2,0.03,0.722772277
944,6,5,0,0.754850088
669,3,12.7,0,0.51965812
132,2,10.4,0,0.649377593
640,7,6.1,0,0.64484127
