,day,wdsp,sndp,total_num_of_crimes
1322,6,9.1,0,0.687830688
88,7,2.5,0,0.537142857
61,6,10.7,2,0.527336861
286,5,6.9,0,0.76
2074,1,9.5,3.1,0.58531746
87,5,10.8,0,0.700396825
118,5,7,0,0.693333333
1866,3,14.5,0,0.631683168
777,7,7.7,0,0.567521368
843,4,7.3,0,0.579487179
1038,5,12.3,0,0.695049505
1817,1,11.5,0,0.634285714
1141,2,5.5,0,0.72406639
1813,2,7.4,0,0.65560166
2112,2,4.5,0,0.615841584
262,1,8.6,0,0.638095238
1746,4,5.8,0,0.64950495
1326,4,7.9,0,0.718811881
950,7,13.9,0,0.610229277
1032,4,10.6,0,0.663366337
1351,2,5.4,0,0.761410788
1877,4,9,0,0.582857143
1954,2,4.9,0,0.648809524
447,1,11.7,0,0.637606838
945,7,9.3,0,0.547008547
1971,3,9.3,1.2,0.500854701
91,4,12.6,0,0.557319224
198,6,8.6,3.9,0.643153527
1492,2,9.3,0,0.765873016
1895,7,3.5,0,0.573333333
1470,7,9.9,0,0.742574257
1315,3,5.9,0,0.751037344
15,7,10.9,2,0.569444444
1757,5,7.4,0,0.706666667
2011,7,9.1,0,0.686721992
201,3,9.8,0,0.654761905
1906,1,8,0,0.623015873
767,1,6.3,0,0.607619048
1549,7,9.3,0,0.780082988
1724,3,8.4,0,0.679012346
1699,4,7,0,0.639004149
621,2,5.1,0,0.658119658
1240,2,4.4,0,0.888888889
93,6,11.2,0,0.575396825
736,2,5.4,0,0.700396825
1177,1,10,0,0.771784232
1149,6,3.7,0,0.618803419
123,4,2.7,1.2,0.617063492
1267,2,6.3,0,0.778008299
539,5,15.7,0,0.744761905
1951,4,14.6,0,0.680497925
2048,1,8.2,0,0.599647266
1607,1,5.6,0,0.733333333
2099,6,7.9,0,0.714285714
1123,6,8,0,0.821576763
1113,7,3.5,0,0.717948718
1788,4,4.4,0,0.633663366
824,7,7.7,0,0.721340388
1402,1,3.5,0,0.716269841
2133,2,6.9,0,0.52991453
982,1,5.7,0,0.742063492
1414,3,10.6,0,0.797619048
1786,2,5.3,0,0.694444444
794,2,10.4,0,0.64021164
285,3,5.9,1.2,0.581349206
1985,1,4.5,0,0.662857143
192,5,4.3,7.1,0.773858921
1592,2,5.1,0,0.689594356
474,2,17,0,0.633663366
276,5,12.9,0,0.709543568
1979,7,6.6,0,0.592380952
55,5,7.2,5.1,0.50617284
1763,6,11.3,0,0.672380952
408,5,5.8,0,0.732673267
1941,5,10.5,0,0.576068376
957,2,5.9,0,0.637606838
1502,1,4.8,0,0.555555556
1845,3,5.2,0,0.673504274
260,5,8.4,3.1,0.483760684
1755,2,11.5,0,0.618803419
1950,3,10.2,0,0.697029703
2128,3,7.5,3.1,0.668650794
801,4,8.7,0,0.641025641
1339,7,6.8,0,0.794605809
689,2,9.8,0,0.718095238
1829,3,6.8,0,0.727619048
53,2,6,1.2,0.633663366
419,6,8.2,0,0.542857143
740,7,9.6,0,0.603174603
1972,5,6.9,0,0.640873016
716,3,8.2,0,0.666666667
554,4,11.5,0,0.594356261
914,1,14.3,0,0.758377425
835,7,10.7,0,0.736514523
1118,7,9.9,0,0.721340388
1580,7,11.4,0,0.680776014
639,5,3.8,0,0.632478632
361,5,4.9,0,0.705394191
1661,3,9.2,0,0.624761905
2096,2,8,0,0.529100529
1538,7,4.6,0,0.610229277
1426,5,5,0,0.706349206
707,5,5.4,0,0.700952381
1910,6,5.5,0,0.624338624
1723,1,7.4,0,0.699170124
1681,1,7,0,0.692946058
1610,5,3.9,0,0.723104056
2135,5,6.6,0,0.678095238
569,3,12.7,0,0.603809524
1256,2,6.2,0,0.687830688
809,1,6.7,0,0.820952381
1354,7,4.7,0,0.748015873
1284,4,7.8,0,0.861386139
1361,2,6.6,0,0.708571429
418,5,5.4,0,0.648809524
1550,2,5.3,0,0.617283951
1633,7,9,0,0.676348548
1589,5,6,0,0.712380952
623,5,7.4,0,0.702857143
85,3,11.7,0,0.619047619
485,3,14.1,0,0.63047619
2097,3,11.9,0,0.564102564
1142,4,4.6,0,0.698412698
849,5,7.5,0,0.673504274
1174,5,8.5,0,0.734126984
786,5,12,0,0.669306931
1593,3,4.6,0,0.663247863
103,6,8.1,1.2,0.552028219
1031,3,5.8,0,0.72952381
1147,3,8.9,0,0.807053942
1302,7,11.4,0,0.794059406
1680,7,8.6,0,0.62970297
1963,6,4.8,0,0.67219917
492,5,7.8,0,0.702970297
104,7,10.9,0,0.548717949
1077,1,4.4,0,0.617094017
1060,7,8.7,0,0.678571429
1352,4,7.7,0,0.654320988
1157,3,8.2,0,0.60952381
24,5,8.4,0,0.70746888
839,6,10.6,0,0.580952381
411,2,6.2,0,0.644444444
1286,7,4.7,0,0.731922399
922,5,5.3,0,0.740079365
2123,3,8,0,0.681904762
544,5,8.1,0,0.797619048
1467,3,7.6,0,0.620512821
261,6,11.8,0,0.589285714
1808,3,9.5,0,0.675485009
737,3,6,0,0.664761905
676,6,7.2,0,0.630952381
1500,5,9.7,0,0.665346535
183,7,7.6,0,0.613095238
1948,1,4.5,0,0.636904762
1981,2,5.5,0,0.695020747
1126,4,6.1,0,0.738095238
1114,2,6.3,0,0.892857143
2023,2,10.1,0,0.632780083
838,5,6.1,0,0.753968254
1535,3,5.2,0,0.626666667
1373,4,12.4,0,0.687619048
990,4,3.9,0,0.661386139
1490,6,7.7,0,0.647266314
