day,prcp,total_num_of_crimes
1,0.15,13
1,0.0,17
1,0.0,19
1,0.11,19
1,0.0,20
1,0.13,21
1,0.0,21
1,0.0,22
1,0.4,24
1,0.0,25
1,0.01,25
1,0.0,25
1,0.0,26
1,0.0,26
1,0.06,26
1,0.85,26
1,0.03,27
1,0.15,27
1,0.0,27
1,0.04,28
1,0.0,28
1,0.08,28
1,0.0,28
1,0.0,28
1,0.0,29
1,0.0,29
1,0.0,29
1,0.0,29
1,0.05,30
1,0.67,31
1,0.0,31
1,0.01,31
1,0.11,32
1,0.5,32
1,0.0,33
1,0.13,33
1,1.37,34
1,0.0,34
1,0.09,34
1,0.0,36
1,0.0,36
1,0.13,36
1,0.01,36
1,0.03,37
1,0.0,37
1,0.29,37
1,0.0,38
1,0.0,38
1,0.1,40
1,0.26,40
1,0.08,41
1,0.4,41
2,0.0,18
2,0.01,19
2,0.02,21
2,0.0,21
2,0.0,21
2,0.0,22
2,0.0,22
2,0.02,23
2,0.05,23
2,0.44,23
2,0.01,23
2,0.0,24
2,0.1,24
2,0.02,25
2,1.28,25
2,0.11,26
2,0.0,26
2,0.0,26
2,0.0,26
2,0.0,27
2,0.08,27
2,0.0,27
2,0.0,28
2,0.0,28
2,0.19,28
2,0.45,29
2,0.0,29
2,0.0,29
2,0.0,29
2,0.0,29
2,0.0,30
2,0.0,30
2,0.07,30
2,0.0,31
2,0.68,31
2,0.01,32
2,0.0,33
2,0.0,34
2,0.0,34
2,0.41,35
2,0.0,35
2,0.54,36
2,0.27,36
2,0.0,37
2,0.66,37
2,0.0,37
2,0.38,38
2,0.0,38
2,0.05,39
2,0.0,40
2,1.14,43
2,0.0,44
2,0.0,45
3,0.0,9
3,0.01,15
3,0.0,18
3,0.0,19
3,0.01,19
3,0.0,21
3,0.51,21
3,0.0,22
3,0.0,22
3,0.26,22
3,0.53,23
3,0.0,23
3,0.0,24
3,0.17,24
3,0.15,25
3,0.0,25
3,0.0,25
3,0.01,25
3,0.0,25
3,0.0,25
3,0.0,26
3,0.0,26
3,0.0,27
3,1.29,27
3,0.0,27
3,0.49,28
3,0.0,28
3,0.03,28
3,0.0,29
3,0.23,31
3,0.0,31
3,0.0,32
3,0.17,32
3,0.0,33
3,0.0,33
3,0.08,33
3,0.74,33
3,0.0,34
3,0.0,34
3,0.0,34
3,0.1,35
3,0.23,35
3,0.0,35
3,0.0,35
3,0.05,35
3,0.0,36
3,0.79,37
3,0.0,38
3,1.34,40
3,0.0,40
3,0.0,41
3,0.0,43
4,0.0,14
4,0.0,17
4,0.14,18
4,0.0,21
4,0.0,21
4,0.0,23
4,0.49,23
4,0.01,23
4,0.32,24
4,0.0,24
4,0.0,24
4,0.07,25
4,0.0,25
4,0.0,25
4,0.01,26
4,0.16,26
4,0.08,27
4,0.16,27
4,0.72,28
4,0.04,28
4,0.0,28
4,0.0,28
4,0.06,29
4,0.5,29
4,0.0,29
4,0.13,29
4,0.0,30
4,0.38,30
4,0.08,30
4,0.0,30
4,0.37,31
4,0.45,31
4,0.59,31
4,0.08,32
4,0.0,32
4,0.0,33
4,0.0,33
4,0.01,33
4,0.0,33
4,0.28,34
4,0.0,34
4,0.0,34
4,0.18,35
4,0.02,35
4,0.33,36
4,0.0,36
4,0.03,38
4,0.0,38
4,0.0,38
4,0.0,38
4,0.0,42
4,0.0,44
5,0.0,21
5,0.31,22
5,0.18,22
5,0.32,23
5,0.01,23
5,0.0,24
5,0.0,26
5,0.06,26
5,0.0,27
5,0.0,28
5,0.03,28
5,0.02,29
5,0.44,29
5,0.0,29
5,0.47,29
5,0.11,30
5,0.0,30
5,0.0,30
5,0.0,31
5,0.0,31
5,0.01,31
5,0.0,31
5,0.32,32
5,0.01,32
5,0.0,32
5,0.13,32
5,0.0,32
5,0.0,32
5,0.16,33
5,0.0,33
5,0.0,33
5,0.06,34
5,0.0,34
5,0.63,35
5,0.0,35
5,0.0,35
5,0.01,36
5,0.0,37
5,0.0,37
5,0.0,37
5,0.0,37
5,0.0,38
5,0.0,38
5,1.43,39
5,0.0,39
5,0.0,39
5,0.28,40
5,0.0,41
5,0.02,41
5,0.0,42
5,0.0,43
5,0.0,46
6,0.0,18
6,0.03,19
6,0.0,21
6,0.0,22
6,0.02,23
6,0.0,23
6,0.0,24
6,0.0,24
6,0.0,24
6,0.13,24
6,0.0,25
6,0.61,25
6,0.03,25
6,0.0,26
6,0.0,26
6,0.0,26
6,0.0,27
6,0.0,27
6,0.0,28
6,0.0,28
6,0.0,28
6,0.0,29
6,0.0,29
6,0.0,29
6,0.05,29
6,0.0,29
6,0.0,30
6,0.0,30
6,0.0,30
6,0.0,31
6,0.0,32
6,0.0,32
6,0.01,32
6,0.0,33
6,0.04,33
6,0.0,34
6,0.13,34
6,1.54,34
6,0.0,36
6,0.0,36
6,0.45,36
6,0.0,37
6,0.0,37
6,0.01,37
6,0.0,38
6,0.0,38
6,0.0,38
6,0.02,39
6,0.0,41
6,0.0,41
6,0.45,43
6,0.0,48
7,0.0,15
7,0.03,17
7,0.07,17
7,0.0,18
7,0.01,19
7,0.37,19
7,0.0,19
7,0.0,19
7,0.0,22
7,0.0,23
7,0.0,23
7,0.0,23
7,0.05,25
7,0.0,25
7,0.0,25
7,0.55,26
7,0.0,27
7,0.85,27
7,0.0,27
7,0.0,27
7,0.14,28
7,0.32,28
7,0.0,28
7,2.29,28
7,0.0,29
7,0.07,29
7,0.2,30
7,0.0,30
7,0.73,32
7,0.0,32
7,0.0,32
7,0.42,33
7,0.0,33
7,0.47,33
7,0.03,33
7,0.0,34
7,0.12,34
7,0.22,34
7,0.78,35
7,0.0,35
7,0.28,36
7,0.16,36
7,0.0,37
7,0.0,37
7,0.0,38
7,0.0,38
7,0.0,38
7,0.0,41
7,0.76,42
7,0.07,44
7,0.0,46
7,0.0,50
