day,sndp,total_num_of_crimes
1,1.2,0.659611993
1,1.2,0.559082892
1,3.9,0.557319224
1,7.9,0.490299824
1,11,0.504409171
1,0,0.534391534
1,2,0.509700176
1,0,0.705467372
1,0,0.615520282
1,0,0.601410935
1,0,0.590828924
1,0,0.643738977
1,0,0.566137566
1,0,0.611992945
1,0,0.636684303
1,0,0.758377425
1,0,0.701940035
1,0,0.693121693
1,0,0.619047619
1,0,0.758377425
1,0,0.701940035
1,0,0.758377425
1,0,0.686067019
1,0,0.682539683
1,0,0.776014109
1,0,0.684303351
1,0,0.668430335
1,0,0.733686067
1,0,0.693121693
1,0,0.701940035
1,0,0.647266314
1,0,0.677248677
1,0,0.814814815
1,0,0.555555556
1,0,0.636684303
1,0,0.686067019
1,0,0.64021164
1,0,0.571428571
1,0,0.590828924
1,0,0.659611993
1,0,0.626102293
1,0,0.668430335
1,0,0.62962963
1,0,0.534391534
1,0,0.532627866
1,0,0.710758377
1,0,0.599647266
1,0,0.596119929
1,0,0.536155203
1,0,0.569664903
1,3.9,0.526495726
1,0,0.570940171
1,1.2,0.572649573
1,3.9,0.488888889
1,5.1,0.535042735
1,1.2,0.6
1,0,0.637606838
1,3.1,0.487179487
1,0,0.611965812
1,0,0.560683761
1,0,0.625641026
1,0,0.61025641
1,0,0.6
1,0,0.625641026
1,0,0.625641026
1,0,0.634188034
1,0,0.582905983
1,0,0.782905983
1,0,0.560683761
1,0,0.564102564
1,0,0.646153846
1,0,0.617094017
1,0,0.594871795
1,0,0.687179487
1,0,0.697435897
1,0,0.668376068
1,0,0.629059829
1,0,0.639316239
1,0,0.629059829
1,0,0.579487179
1,0,0.622222222
1,0,0.647863248
1,0,0.6
1,0,0.582905983
1,0,0.611965812
1,0,0.622222222
1,0,0.582905983
1,0,0.652991453
1,0,0.651282051
1,0,0.687179487
1,0,0.564102564
1,0,0.613675214
1,2,0.52991453
1,0,0.569230769
1,0,0.591452991
1,0,0.593162393
1,0,0.543589744
1,2,0.001220396
1,0,0.001362119
1,0,0.00154321
1,0,0.00111804
1,0,0.001228269
1,0,0.001499906
1,0,0.001318815
1,0,0.001267637
1,0,0.00155502
1,0,0.001236143
1,0,0.001244016
1,0,0.001342435
1,0,0.00140936
1,0,0.001401487
1,0,0.001480222
1,0,0.001507779
1,0,0.001495969
1,0,0.001492032
1,0,0.001401487
1,0,0.001472348
1,0,0.001669186
1,0,0.001480222
1,0,0.00154321
1,0,0.001247953
1,0,0.001452664
1,0,0.00156683
1,0,0.001641629
1,0,0.001476285
1,0,0.001476285
1,0,0.00142117
1,0,0.001649502
1,0,0.001488095
1,0,0.001523526
1,0,0.001314878
1,0,0.001436917
1,0,0.00142117
1,0,0.001373929
1,0,0.001472348
1,0,0.001413297
1,0,0.001653439
1,0,0.001350309
1,0,0.001236143
1,0,0.0012637
1,0,0.001338498
1,2,0.001346372
1,3.1,0.001161344
1,3.1,0.001133787
1,0,0.001149534
1,0,0.567619048
1,0,0.56952381
1,0,0.573333333
1,0,0.691428571
1,0,0.655238095
1,0,0.708571429
1,0,0.638095238
1,0,0.64
1,0,0.575238095
1,0,0.628571429
1,0,0.611428571
1,0,0.697142857
1,0,0.620952381
1,0,0.601904762
1,0,0.643809524
1,0,0.662857143
1,0,0.761904762
1,0,0.607619048
1,0,0.820952381
1,0,0.718095238
1,0,0.723809524
1,0,0.67047619
1,0,0.64952381
1,0,0.678095238
1,0,0.68952381
1,0,0.826666667
1,0,0.697142857
1,0,0.796190476
1,0,0.700952381
1,0,0.761904762
1,0,0.723809524
1,0,0.699047619
1,0,0.662857143
1,0,0.6
1,0,0.662857143
1,0,0.64952381
1,0,0.699047619
1,0,0.733333333
1,0,0.6
1,0,0.693333333
1,0,0.67047619
1,0,0.666666667
1,0,0.634285714
1,0,0.63047619
1,0,0.636190476
1,0,0.653333333
1,0,0.662857143
1,0,0.71047619
1,0,0.697142857
1,0,0.607619048
1,2,0.83960396
1,0,0.665346535
1,0,0.617821782
1,0,0.617821782
1,0,0.637623762
1,0,0.643564356
1,0,0.601980198
1,0,0.625742574
1,0,0.691089109
1,0,0.625742574
1,1.2,0.641584158
1,0,0.669306931
1,0,0.63960396
1,0,0.774257426
1,0,0.772277228
1,0,0.798019802
1,0,0.702970297
1,0,0.823762376
1,0,0.730693069
1,0,0.736633663
1,0,0.857425743
1,0,0.78019802
1,0,0.835643564
1,0,0.752475248
1,0,0.77029703
1,0,0.81980198
1,0,0.734653465
1,0,0.762376238
1,0,0.78019802
1,0,0.691089109
1,0,0.77029703
1,0,0.748514851
1,0,0.683168317
1,0,0.675247525
1,0,0.742574257
1,0,0.831683168
1,0,0.657425743
1,0,0.627722772
1,0,0.655445545
1,0,0.691089109
1,0,0.691089109
1,0,0.611881188
1,0,0.762376238
1,0,0.695049505
1,0,0.621782178
1,0,0.588118812
1,0,0.641584158
1,0,0.639004149
1,0,0.705394191
1,0,0.678423237
1,0,0.67219917
1,0,0.782157676
1,0,0.744813278
1,1.2,0.686721992
1,0,0.661825726
1,0,0.701244813
1,0,0.821576763
1,0,0.782157676
1,0,0.804979253
1,0,0.746887967
1,0,0.697095436
1,0,0.765560166
1,0,0.755186722
1,0,0.794605809
1,0,0.919087137
1,0,0.854771784
1,0,0.771784232
1,0,0.744813278
1,0,0.798755187
1,0,0.769709544
1,0,0.703319502
1,0,0.81120332
1,0,0.72406639
1,0,0.782157676
1,0,0.742738589
1,0,0.817427386
1,0,0.717842324
1,0,0.736514523
1,0,0.692946058
1,0,0.699170124
1,0,0.699170124
1,0,0.690871369
1,0,0.624481328
1,0,0.676348548
1,0,0.680497925
1,0,0.661825726
1,0,0.639004149
1,0,0.713692946
1,0,0.628630705
2,0,0.578483245
2,5.1,0.502645503
2,3.9,0.48324515
2,3.9,0.520282187
2,7.9,0.476190476
2,5.9,0.527336861
2,0,0.546737213
2,2,0.585537919
2,0,0.604938272
2,0,0.703703704
2,0,0.596119929
2,0,0.78659612
2,0,0.654320988
2,1.2,0.597883598
2,0,0.634920635
2,0,0.684303351
2,0,0.689594356
2,0,0.64021164
2,0,0.633156966
2,0,0.631393298
2,0,0.770723104
2,0,0.564373898
2,0,0.779541446
2,0,0.69664903
2,0,0.708994709
2,0,0.712522046
2,0,0.716049383
