day,temp,total_num_of_crimes
1,20.4,13
1,26.2,17
1,37.6,19
1,10.9,19
1,42.8,20
1,30.5,21
1,58.3,21
1,48.6,22
1,39.9,24
1,27.8,25
1,15.6,25
1,45.6,25
1,36.5,26
1,39.0,26
1,33.3,26
1,45.5,26
1,73.3,27
1,48.8,27
1,72.2,27
1,60.7,28
1,60.1,28
1,29.6,28
1,47.3,28
1,62.7,28
1,46.5,29
1,36.1,29
1,6.6,29
1,58.9,29
1,67.5,30
1,37.9,31
1,71.3,31
1,62.7,31
1,68.8,32
1,26.8,32
1,72.2,33
1,77.5,33
1,33.3,34
1,59.8,34
1,77.8,34
1,68.4,36
1,47.2,36
1,71.9,36
1,73.2,36
1,77.3,37
1,54.1,37
1,68.3,37
1,82.3,38
1,80.1,38
1,73.9,40
1,79.2,40
1,46.8,41
1,50.4,41
2,70.3,18
2,27.7,19
2,44.9,21
2,30.8,21
2,40.8,21
2,59.8,22
2,76.8,22
2,24.1,23
2,49.5,23
2,79.4,23
2,31.6,23
2,33.5,24
2,6.4,24
2,65.7,25
2,14.9,25
2,75.9,26
2,60.9,26
2,73.1,26
2,42.3,26
2,50.8,27
2,39.8,27
2,21.5,27
2,57.8,28
2,59.1,28
2,42.1,28
2,26.6,29
2,13.2,29
2,55.7,29
2,72.9,29
2,65.1,29
2,77.6,30
2,38.3,30
2,84.9,30
2,73.3,31
2,26.4,31
2,23.2,32
2,68.1,33
2,36.3,34
2,20.3,34
2,47.4,35
2,69.9,35
2,77.1,36
2,76.1,36
2,70.8,37
2,32.6,37
2,67.0,37
2,42.8,38
2,52.3,38
2,74.0,39
2,79.7,40
2,46.1,43
2,39.1,44
2,36.1,45
3,-13.5,9
3,20.6,15
3,71.7,18
3,31.6,19
3,29.5,19
3,21.3,21
3,38.5,21
3,57.9,22
3,34.5,22
3,41.6,22
3,23.8,23
3,75.5,23
3,68.4,24
3,79.3,24
3,61.7,25
3,42.5,25
3,67.4,25
3,47.1,25
3,49.5,25
3,32.4,25
3,47.0,26
3,17.3,26
