day,wdsp,total_num_of_crimes
1,11.6,13
1,7.0,17
1,7.9,19
1,15.0,19
1,7.5,20
1,12.3,21
1,13.4,21
1,9.8,22
1,7.8,24
1,15.5,25
1,5.6,25
1,12.9,25
1,7.3,26
1,9.6,26
1,11.7,26
1,13.7,26
1,4.0,27
1,5.1,27
1,7.2,27
1,7.9,28
1,9.5,28
1,6.9,28
1,7.0,28
1,7.0,28
1,7.8,29
1,12.6,29
1,7.4,29
1,6.1,29
1,5.7,30
1,3.8,31
1,6.7,31
1,5.4,31
1,6.6,32
1,9.5,32
1,9.4,33
1,9.8,33
1,6.7,34
1,3.6,34
1,9.9,34
1,9.4,36
1,10.5,36
1,12.2,36
1,9.1,36
1,4.4,37
1,10.3,37
1,11.5,37
1,5.7,38
1,10.0,38
1,6.9,40
1,6.6,40
1,7.8,41
1,9.6,41
2,6.9,18
2,16.8,19
2,9.6,21
2,4.7,21
2,12.9,21
2,3.0,22
2,5.5,22
2,11.1,23
2,10.2,23
2,10.0,23
2,3.1,23
2,14.8,24
2,10.1,24
2,11.7,25
2,7.9,25
2,9.5,26
2,7.4,26
2,4.6,26
2,9.8,26
2,9.4,27
2,6.7,27
2,16.1,27
2,9.6,28
2,5.5,28
2,9.4,28
2,4.1,29
2,14.2,29
2,9.7,29
2,10.2,29
2,4.0,29
2,8.1,30
2,7.1,30
2,4.2,30
2,10.9,31
2,6.3,31
2,13.8,32
2,8.2,33
2,10.4,34
2,6.2,34
2,6.8,35
2,10.9,35
2,7.5,36
2,5.4,36
2,7.1,37
2,7.6,37
2,9.1,37
2,8.0,38
2,11.9,38
2,11.4,39
2,8.2,40
2,7.8,43
2,9.2,44
2,6.4,45
3,15.8,9
3,16.7,15
3,5.0,18
3,11.2,19
3,6.7,19
3,9.8,21
3,8.4,21
3,13.8,22
3,8.5,22
3,6.3,22
3,8.7,23
3,15.0,23
3,6.3,24
3,9.3,24
3,7.7,25
3,13.8,25
3,8.8,25
3,7.5,25
3,10.7,25
3,5.5,25
3,10.1,26
3,8.9,26
3,9.1,27
3,4.9,27
3,11.8,27
3,4.2,28
3,11.8,28
3,18.3,28
3,9.3,29
3,8.9,31
3,5.3,31
3,8.6,32
3,5.5,32
3,7.1,33
3,5.9,33
3,4.3,33
3,8.1,33
3,8.4,34
3,11.8,34
3,8.6,34
3,7.7,35
3,10.8,35
3,9.0,35
3,8.5,35
3,7.1,35
3,11.4,36
3,12.8,37
3,9.0,38
3,6.0,40
3,3.1,40
3,7.8,41
3,7.9,43
4,7.7,14
4,9.0,17
4,9.5,18
4,7.7,21
4,11.6,21
4,14.2,23
4,5.9,23
4,7.0,23
4,5.3,24
4,6.8,24
4,15.0,24
4,9.8,25
4,9.1,25
4,5.3,25
4,5.5,26
4,8.5,26
4,6.8,27
4,11.3,27
4,13.9,28
4,7.6,28
4,8.0,28
4,9.0,28
4,5.7,29
4,15.8,29
4,10.6,29
4,4.4,29
4,10.6,30
4,10.3,30
4,9.2,30
4,7.1,30
4,8.2,31
4,7.9,31
4,6.3,31
4,10.9,32
4,5.4,32
4,6.2,33
4,9.3,33
4,10.1,33
4,7.8,33
4,8.5,34
4,8.0,34
4,5.8,34
4,13.1,35
4,14.6,35
4,8.6,36
4,4.7,36
4,3.5,38
4,10.6,38
4,5.8,38
4,12.3,38
4,9.6,42
4,5.5,44
5,12.8,21
5,8.2,22
5,9.6,22
5,15.7,23
5,5.1,23
5,10.1,24
5,4.9,26
5,7.1,26
5,8.4,27
5,4.3,28
5,9.6,28
5,18.2,29
5,7.9,29
5,14.9,29
5,8.8,29
5,7.9,30
5,11.1,30
5,6.9,30
5,7.6,31
5,4.4,31
5,12.9,31
5,6.0,31
5,7.0,32
5,8.8,32
5,4.8,32
5,18.7,32
5,10.4,32
5,8.8,32
5,3.8,33
5,3.7,33
5,4.9,33
5,6.0,34
5,14.5,34
5,8.6,35
5,8.5,35
5,10.7,35
5,3.7,36
5,4.4,37
5,5.2,37
5,6.9,37
5,7.4,37
5,5.2,38
5,5.6,38
5,6.4,39
5,7.9,39
5,10.4,39
5,9.2,40
5,10.6,41
5,8.6,41
5,7.0,42
5,10.4,43
5,4.6,46
6,8.6,18
6,16.4,19
6,7.3,21
6,6.1,22
6,5.6,23
6,11.3,23
6,10.5,24
6,4.8,24
6,10.1,24
6,7.8,24
6,8.2,25
6,9.8,25
6,11.3,25
6,6.5,26
6,4.0,26
6,7.7,26
6,10.3,27
6,7.6,27
6,8.3,28
6,5.0,28
6,7.6,28
6,8.0,29
6,10.2,29
6,6.8,29
6,7.7,29
6,7.4,29
6,5.3,30
6,16.0,30
6,8.6,30
6,9.0,31
6,6.1,32
6,4.2,32
6,12.9,32
6,9.5,33
6,8.7,33
6,11.2,34
6,5.3,34
6,9.3,34
6,10.3,36
6,5.7,36
6,11.8,36
6,6.9,37
6,9.2,37
6,8.7,37
6,5.1,38
6,6.5,38
6,5.8,38
6,6.6,39
6,3.6,41
6,8.9,41
6,14.2,43
6,8.0,48
7,6.0,15
7,6.3,17
7,13.3,17
7,6.6,18
7,9.7,19
7,14.5,19
7,7.8,19
7,18.2,19
7,6.5,22
7,4.6,23
7,6.2,23
7,12.2,23
7,5.6,25
7,14.6,25
7,9.3,25
7,10.1,26
7,6.2,27
7,10.5,27
7,8.8,27
7,11.4,27
7,12.2,28
7,7.3,28
7,7.4,28
7,9.1,28
7,9.5,29
7,10.5,29
7,5.7,30
7,5.7,30
7,5.1,32
7,10.1,32
7,9.0,32
7,7.5,33
7,18.8,33
7,10.7,33
7,6.8,33
7,12.6,34
7,8.9,34
7,8.0,34
7,5.2,35
7,7.7,35
7,9.1,36
7,8.3,36
7,11.8,37
7,6.2,37
7,8.9,38
7,6.8,38
7,8.2,38
7,10.1,41
7,10.7,42
7,7.6,44
7,9.3,46
7,4.9,50
